Date,Time,Temp.C
2010/1/11,17:15,9.31
2010/1/11,17:30,9.31
2010/1/11,17:45,9.31
2010/1/11,18:00,9.31
2010/1/11,18:15,9.31
2010/1/11,18:30,9.31
2010/1/11,18:45,9.29
2010/1/11,19:00,9.29
2010/1/11,19:15,9.29
2010/1/11,19:30,9.29
2010/1/11,19:45,9.29
2010/1/11,20:00,9.29
2010/1/11,20:15,9.29
2010/1/11,20:30,9.29
2010/1/11,20:45,9.29
2010/1/11,21:00,9.29
2010/1/11,21:15,9.29
2010/1/11,21:30,9.26
2010/1/11,21:45,9.26
2010/1/11,22:00,9.26
2010/1/11,22:15,9.26
2010/1/11,22:30,9.24
2010/1/11,22:45,9.24
2010/1/11,23:00,9.24
2010/1/11,23:15,9.24
2010/1/11,23:30,9.24
2010/1/11,23:45,9.24
2010/1/12,0:00,9.24
2010/1/12,0:15,9.21
2010/1/12,0:30,9.21
2010/1/12,0:45,9.21
2010/1/12,1:00,9.21
2010/1/12,1:15,9.21
2010/1/12,1:30,9.19
2010/1/12,1:45,9.19
2010/1/12,2:00,9.19
2010/1/12,2:15,9.19
2010/1/12,2:30,9.21
2010/1/12,2:45,9.19
2010/1/12,3:00,9.19
2010/1/12,3:15,9.19
2010/1/12,3:30,9.19
2010/1/12,3:45,9.19
2010/1/12,4:00,9.19
2010/1/12,4:15,9.16
2010/1/12,4:30,9.16
2010/1/12,4:45,9.16
2010/1/12,5:00,9.16
2010/1/12,5:15,9.16
2010/1/12,5:30,9.16
2010/1/12,5:45,9.16
2010/1/12,6:00,9.19
2010/1/12,6:15,9.21
2010/1/12,6:30,9.21
2010/1/12,6:45,9.19
2010/1/12,7:00,9.19
2010/1/12,7:15,9.19
2010/1/12,7:30,9.19
2010/1/12,7:45,9.21
2010/1/12,8:00,9.21
2010/1/12,8:15,9.21
2010/1/12,8:30,9.24
2010/1/12,8:45,9.24
2010/1/12,9:00,9.24
2010/1/12,9:15,9.24
2010/1/12,9:30,9.24
2010/1/12,9:45,9.26
2010/1/12,10:00,9.31
2010/1/12,10:15,9.34
2010/1/12,10:30,9.39
2010/1/12,10:45,9.36
2010/1/12,11:00,9.39
2010/1/12,11:15,9.39
2010/1/12,11:30,9.39
2010/1/12,11:45,9.39
2010/1/12,12:00,9.39
2010/1/12,12:15,9.41
2010/1/12,12:30,9.44
2010/1/12,12:45,9.49
2010/1/12,13:00,9.51
2010/1/12,13:15,9.49
2010/1/12,13:30,9.51
2010/1/12,13:45,9.51
2010/1/12,14:00,9.51
2010/1/12,14:15,9.51
2010/1/12,14:30,9.53
2010/1/12,14:45,9.53
2010/1/12,15:00,9.51
2010/1/12,15:15,9.53
2010/1/12,15:30,9.51
2010/1/12,15:45,9.53
2010/1/12,16:00,9.53
2010/1/12,16:15,9.56
2010/1/12,16:30,9.56
2010/1/12,16:45,9.53
2010/1/12,17:00,9.53
2010/1/12,17:15,9.53
2010/1/12,17:30,9.53
2010/1/12,17:45,9.56
2010/1/12,18:00,9.58
2010/1/12,18:15,9.58
2010/1/12,18:30,9.61
2010/1/12,18:45,9.63
2010/1/12,19:00,9.66
2010/1/12,19:15,9.66
2010/1/12,19:30,9.68
2010/1/12,19:45,9.68
2010/1/12,20:00,9.68
2010/1/12,20:15,9.71
2010/1/12,20:30,9.73
2010/1/12,20:45,9.73
2010/1/12,21:00,9.76
2010/1/12,21:15,9.76
2010/1/12,21:30,9.78
2010/1/12,21:45,9.78
2010/1/12,22:00,9.81
2010/1/12,22:15,9.81
2010/1/12,22:30,9.81
2010/1/12,22:45,9.81
2010/1/12,23:00,9.81
2010/1/12,23:15,9.81
2010/1/12,23:30,9.81
2010/1/12,23:45,9.81
2010/1/13,0:00,9.81
2010/1/13,0:15,9.81
2010/1/13,0:30,9.81
2010/1/13,0:45,9.83
2010/1/13,1:00,9.85
2010/1/13,1:15,9.85
2010/1/13,1:30,9.85
2010/1/13,1:45,9.85
2010/1/13,2:00,9.85
2010/1/13,2:15,9.85
2010/1/13,2:30,9.83
2010/1/13,2:45,9.83
2010/1/13,3:00,9.83
2010/1/13,3:15,9.83
2010/1/13,3:30,9.83
2010/1/13,3:45,9.83
2010/1/13,4:00,9.83
2010/1/13,4:15,9.83
2010/1/13,4:30,9.83
2010/1/13,4:45,9.83
2010/1/13,5:00,9.81
2010/1/13,5:15,9.81
2010/1/13,5:30,9.83
2010/1/13,5:45,9.83
2010/1/13,6:00,9.81
2010/1/13,6:15,9.81
2010/1/13,6:30,9.81
2010/1/13,6:45,9.81
2010/1/13,7:00,9.81
2010/1/13,7:15,9.81
2010/1/13,7:30,9.81
2010/1/13,7:45,9.81
2010/1/13,8:00,9.81
2010/1/13,8:15,9.81
2010/1/13,8:30,9.81
2010/1/13,8:45,9.81
2010/1/13,9:00,9.81
2010/1/13,9:15,9.83
2010/1/13,9:30,9.85
2010/1/13,9:45,9.85
2010/1/13,10:00,9.88
2010/1/13,10:15,9.9
2010/1/13,10:30,9.93
2010/1/13,10:45,9.98
2010/1/13,11:00,10.03
2010/1/13,11:15,10.08
2010/1/13,11:30,10.17
2010/1/13,11:45,10.17
2010/1/13,12:00,10.17
2010/1/13,12:15,10.12
2010/1/13,12:30,10.1
2010/1/13,12:45,10.15
2010/1/13,13:00,10.12
2010/1/13,13:15,10.15
2010/1/13,13:30,10.15
2010/1/13,13:45,10.15
2010/1/13,14:00,10.17
2010/1/13,14:15,10.2
2010/1/13,14:30,10.2
2010/1/13,14:45,10.22
2010/1/13,15:00,10.22
2010/1/13,15:15,10.2
2010/1/13,15:30,10.22
2010/1/13,15:45,10.22
2010/1/13,16:00,10.22
2010/1/13,16:15,10.25
2010/1/13,16:30,10.25
2010/1/13,16:45,10.27
